Index, I_out, Q_out
946, 18152, -39404
947, -3344, -33397
948, -19240, -16100
949, -22531, -4873
950, -29701, 1147
951, -35450, 8672
952, -39873, 16327
953, -40471, 22876
954, -41061, 30045
955, -39402, 37245
956, -32999, 44571
957, -22873, 50092
958, -10024, 52261
959, 2293, 51408
960, 13064, 47695
961, 20237, 45602
962, 26221, 43999
963, 29654, 43530
964, 30857, 42969
965, 30435, 44449
966, 27896, 46000
967, 23500, 47761
968, 17671, 48609
969, 12041, 49795
970, 5937, 51203
971, 1029, 51365
972, -1718, 51783
973, -3216, 53132
974, -3496, 55205
975, -1356, 56124
976, 2323, 56425
977, 8488, 56255
978, 16973, 52869
979, 26116, 46772
980, 35173, 37834
981, 42591, 27716
982, 46688, 16308
983, 50111, 7890
984, 52807, 215
985, 53322, -7305
986, 52054, -13069
987, 49305, -17789
988, 44813, -22407
989, 35028, -24980
990, 20460, -26302
991, -2086, -20441
992, -12256, -4855
993, -13007, -486
994, -27673, 3335
995, -36248, 9888
996, -41366, 14521
997, -43801, 18224
998, -49184, 21183
999, -55723, 24145
1000, -59658, 25943
1001, -61437, 26457
1002, -60828, 25358
1003, -59470, 20998
1004, -55894, 13885
1005, -50143, 3762
1006, -43114, -6969
1007, -34159, -17336
1008, -26624, -24600
1009, -22306, -32369
1010, -18961, -37405
1011, -16091, -40680
1012, -12884, -44229
1013, -9902, -46617
1014, -6276, -48334
1015, -482, -48339
1016, 6323, -44917
1017, 14568, -38997
1018, 22017, -29517
1019, 28356, -20256
1020, 33332, -13056
1021, 38661, -8784
1022, 43839, -6698
1023, 49942, -6047
1024, 54578, -5023
1025, 60702, -4820
1026, 65285, -6531
1027, 67967, -8973
1028, 69657, -10879
1029, 67062, -15032
1030, 62433, -18514
1031, 51889, -20986
1032, 35131, -22183
1033, 5832, -24463
1034, -11910, -2745
1035, -17634, -1431
1036, -29968, 2342
1037, -37850, 7197
1038, -40949, 10839
1039, -42514, 14206
1040, -44023, 18164
1041, -42027, 21217
1042, -31868, 25740
1043, -7970, 26115
1044, 14318, 8696
1045, 14589, 2862
1046, 30143, -929
1047, 38524, -7907
1048, 42605, -14773
1049, 42601, -20599
1050, 44282, -28291
1051, 44704, -38772
1052, 39036, -48447
1053, 26642, -56944
1054, 11458, -61269
1055, -6003, -60632
1056, -21380, -55210
1057, -34978, -47162
1058, -45414, -36773
1059, -52838, -25668
1060, -57061, -14347
1061, -59206, -3002
1062, -59454, 6387
1063, -58066, 14383
1064, -54501, 20202
1065, -48885, 23852
1066, -41767, 25075
1067, -31431, 21942
1068, -18392, 15114
1069, 7667, -5813
1070, 3346, -479
1071, 14791, -6765
1072, 25430, -13637
1073, 32719, -16265
1074, 37794, -13256
1075, 44473, -8540
1076, 51208, 221
1077, 51681, 12460
1078, 47892, 25652
1079, 40521, 37665
1080, 31006, 47115
1081, 20282, 53277
1082, 9560, 57736
1083, -2297, 57978
1084, -13732, 54654
1085, -25078, 47140
1086, -35552, 35813
1087, -42036, 23316
1088, -44694, 12209
1089, -46217, 4971
1090, -47160, 2644
1091, -46952, 4602
1092, -45556, 9525
1093, -41055, 18497
1094, -33392, 27999
1095, -24245, 37606
1096, -15312, 45260
1097, -7508, 51517
1098, 465, 54150
1099, 8990, 55698
1100, 18573, 53575
1101, 28867, 48190
1102, 39803, 37000
1103, 47702, 21192
1104, 49667, 4333
1105, 49394, -8333
1106, 49217, -16507
1107, 49328, -20946
1108, 49510, -21605
1109, 49779, -17875
1110, 50024, -9879
1111, 44702, 4307
1112, 32816, 18234
1113, 22299, 28235
1114, 15723, 36495
1115, 12460, 44912
1116, 10171, 48982
1117, 8762, 51162
1118, 8099, 50974
1119, 7482, 48484
1120, 8509, 39324
1121, 13696, 19820
1122, -871, -8440
1123, 1058, -13939
1124, -1863, -27534
1125, -6961, -39194
1126, -11284, -41429
1127, -17007, -43879
1128, -24936, -46367
1129, -35071, -48075
1130, -45187, -39547
1131, -52476, -25540
1132, -55779, -7572
1133, -55295, 7487
1134, -51098, 20918
1135, -46938, 32125
1136, -41046, 40704
1137, -33942, 46734
1138, -26377, 51186
1139, -18188, 53753
1140, -8267, 55436
1141, 1706, 53372
1142, 11446, 50210
1143, 19699, 44580
1144, 25941, 37879
1145, 32484, 32114
1146, 36671, 27304
1147, 39133, 21799
1148, 42617, 15883
1149, 44614, 9926
1150, 46309, 3526
1151, 47069, -4919
1152, 47548, -12427
1153, 46527, -19372
1154, 46683, -25868
1155, 46159, -31397
1156, 46986, -34012
1157, 48122, -36038
1158, 50307, -35175
1159, 52014, -30490
1160, 53792, -21347
1161, 52528, -7352
1162, 47912, 8633
1163, 39690, 23478
1164, 32065, 34189
1165, 27381, 43361
1166, 23572, 50378
1167, 19957, 55530
1168, 16454, 58692
1169, 12560, 58301
1170, 7723, 55342
1171, 388, 44716
1172, -15807, 20908
1173, -5876, -7796
1174, -5199, -16368
1175, -9174, -30793
1176, -11776, -40428
1177, -12506, -43179
1178, -10499, -45391
1179, -10130, -48315
1180, -7114, -46575
1181, 1476, -33679
1182, 10609, 10089
1183, 2195, 11370
1184, 7049, 27123
1185, 10293, 36353
1186, 12197, 40405
1187, 11463, 42287
1188, 9574, 47843
1189, 7176, 49220
1190, 212, 39562
1191, -20512, 1043
1192, -1121, -5505
1193, -5653, -21851
1194, -9363, -36464
1195, -10446, -44697
1196, -8204, -45546
1197, -4691, -49243
1198, 1335, -54737
1199, 10969, -54636
1200, 23861, -44845
1201, 33211, -28000
1202, 37274, -12577
1203, 41753, -4313
1204, 46034, 40
1205, 50104, 633
1206, 53507, -614
1207, 56442, -3029
1208, 59547, -7179
1209, 61166, -13318
1210, 60750, -18121
1211, 58616, -21815
1212, 55228, -22659
1213, 50371, -20844
1214, 44993, -14473
1215, 38232, -4566
1216, 27833, 7000
1217, 17787, 15577
1218, 12281, 22424
1219, 11230, 30783
1220, 10340, 37401
1221, 10914, 42847
1222, 11200, 47782
1223, 12063, 52191
1224, 13266, 56732
1225, 13691, 59052
1226, 14983, 60148
1227, 15092, 58958
1228, 15671, 57560
1229, 14368, 54770
1230, 11169, 50612
1231, 7409, 46669
1232, 1538, 41379
1233, -5988, 36166
1234, -12887, 29271
1235, -18606, 21493
1236, -24213, 16303
1237, -30600, 12507
1238, -36206, 9812
1239, -42019, 8644
1240, -48017, 7933
1241, -53580, 6929
1242, -59622, 6877
1243, -64174, 8070
1244, -67547, 8834
1245, -69266, 10870
1246, -67814, 13979
1247, -62954, 17301
1248, -53207, 20153
1249, -37475, 23002
1250, -11260, 24686
1251, 12519, 5783
1252, 15355, 2728
1253, 29449, -712
1254, 36502, -5920
1255, 40810, -11061
1256, 41735, -15659
1257, 44312, -21017
1258, 44189, -27240
1259, 38471, -34769
1260, 24069, -40594
1261, 7974, -41284
1262, -5100, -39692
1263, -12740, -38614
1264, -18373, -40097
1265, -20464, -42473
1266, -19994, -44944
1267, -17780, -49630
1268, -12987, -53493
1269, -8123, -56795
1270, -4260, -59061
1271, -1562, -60443
1272, -1223, -60082
1273, -5193, -57849
1274, -13801, -51455
1275, -25139, -40625
1276, -34581, -25612
1277, -41168, -12915
1278, -46897, -3231
1279, -50131, 3904
1280, -52940, 9538
1281, -53829, 13723
1282, -54185, 16822
1283, -51676, 19931
1284, -43162, 22011
1285, -24589, 22174
1286, 14811, 5411
1287, 10380, -463
1288, 23335, -3375
1289, 34029, -8096
1290, 40503, -12815
1291, 42948, -14464
1292, 46016, -15953
1293, 47000, -16360
1294, 42004, -15828
1295, 27149, -12327
1296, -11533, 3637
1297, -5171, -456
1298, -20989, 4120
1299, -34671, 9669
1300, -41139, 12590
1301, -45416, 12424
1302, -53634, 12923
1303, -65083, 13965
1304, -69176, 13867
1305, -71006, 13303
1306, -70444, 13553
1307, -65133, 13768
1308, -57660, 13447
1309, -45111, 12074
1310, -30008, 10937
1311, -13117, 11947
1312, 5753, -358
1313, 12505, 445
1314, 21877, -1542
1315, 31602, -4844
1316, 36046, -8558
1317, 40042, -11840
1318, 45273, -14876
1319, 50961, -17363
1320, 53755, -20303
1321, 54707, -23176
1322, 54912, -24310
1323, 53259, -23658
1324, 50690, -21419
1325, 48302, -15686
1326, 46173, -8587
1327, 42506, 428
1328, 39754, 9403
1329, 38431, 17408
1330, 37058, 25496
1331, 34321, 32689
1332, 30889, 38996
1333, 24385, 45042
1334, 15879, 50266
1335, 3223, 52381
1336, -11688, 50459
1337, -26131, 44805
1338, -37753, 37711
1339, -47398, 30542
1340, -53816, 23162
1341, -59236, 17731
1342, -61085, 11584
1343, -60245, 6440
1344, -53899, 186
1345, -38786, -8421
1346, -3791, -21040
1347, 7641, -3403
1348, 19172, -5140
1349, 36042, -7673
1350, 45811, -8640
1351, 46899, -8403
1352, 48537, -8676
1353, 49099, -8351
1354, 44487, -8627
1355, 25832, -10300
1356, -9240, 2337
1357, -14328, -743
1358, -32215, 2583
1359, -43568, 6231
1360, -44389, 8552
1361, -46184, 10656
1362, -47121, 16424
1363, -43297, 23339
